report_date,location,location_type,data_field,data_field_code,time_period,time_period_type,value,unit
,Brazil-Rondonia,state,zika_reported,BR0011,NA,NA,888,cases
,Brazil-Acre,state,zika_reported,BR0011,NA,NA,78,cases
,Brazil-Amazonas,state,zika_reported,BR0011,NA,NA,4418,cases
,Brazil-Roraima,state,zika_reported,BR0011,NA,NA,151,cases
,Brazil-Para,state,zika_reported,BR0011,NA,NA,4460,cases
,Brazil-Amapa,state,zika_reported,BR0011,NA,NA,397,cases
,Brazil-Tocantins,state,zika_reported,BR0011,NA,NA,2104,cases
,Brazil-Maranhao,state,zika_reported,BR0011,NA,NA,4574,cases
,Brazil-Piaui,state,zika_reported,BR0011,NA,NA,230,cases
,Brazil-Ceara,state,zika_reported,BR0011,NA,NA,4253,cases
,Brazil-Rio_Grande_do_Norte,state,zika_reported,BR0011,NA,NA,3645,cases
,Brazil-Paraiba,state,zika_reported,BR0011,NA,NA,3745,cases
,Brazil-Pernambuco,state,zika_reported,BR0011,NA,NA,434,cases
,Brazil-Alagoas,state,zika_reported,BR0011,NA,NA,6798,cases
,Brazil-Sergipe,state,zika_reported,BR0011,NA,NA,215,cases
,Brazil-Bahia,state,zika_reported,BR0011,NA,NA,50629,cases
,Brazil-Minas_Gerais,state,zika_reported,BR0011,NA,NA,13800,cases
,Brazil-Espirito_Santo,state,zika_reported,BR0011,NA,NA,2292,cases
,Brazil-Rio_de_Janeiro,state,zika_reported,BR0011,NA,NA,71136,cases
,Brazil-Sao_Paulo,state,zika_reported,BR0011,NA,NA,5112,cases
,Brazil-Parana,state,zika_reported,BR0011,NA,NA,618,cases
,Brazil-Santa_Catarina,state,zika_reported,BR0011,NA,NA,66,cases
,Brazil-Rio_Grande_do_Sul,state,zika_reported,BR0011,NA,NA,160,cases
,Brazil-Mato_Grosso_do_Sul,state,zika_reported,BR0011,NA,NA,1718,cases
,Brazil-Mato_Grosso,state,zika_reported,BR0011,NA,NA,21544,cases
,Brazil-Goias,state,zika_reported,BR0011,NA,NA,10318,cases
,Brazil-Distrito_Federal,state,zika_reported,BR0011,NA,NA,343,cases