"","region","location","annualIncRateHt_median","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"1","Norte","Roraima",334.75,"1562.18
(266922)","2387.83
(324397)","1122.63
(337237)","334.75
(346871)","1423.3
(357302)","152.11
(381896)","615.57
(391317)","257.21
(403344)","229.11
(395725)","1244.82
(412783)","756.89
(421499)","1673.16
(451227)","285.68
(460165)","398.76
(469524)","188.82
(488072)","230.86
(496936)","220.35
(505665)","41.6
(514229)","63.71
(522636)","NA
(NA)"
"2","Norte","Amapá",294.46,"1.29
(439781)","11.03
(477032)","641.76
(498735)","171.63
(516511)","755.13
(534835)","489.75
(547400)","441.11
(594587)","295.48
(615715)","604.3
(587311)","201.98
(613164)","266.23
(626609)","492.83
(668689)","395.36
(684309)","220.15
(698602)","221.21
(734996)","294.46
(750912)","427.42
(766679)","229.43
(782295)","111.16
(797722)","NA
(NA)"
"3","Norte","Pará",150.42,"58.28
(5886454)","160.77
(6192307)","302.33
(6341736)","204.43
(6453683)","171.27
(6574993)","91.92
(6850181)","140.82
(6970586)","105.12
(7110465)","244.15
(7065573)","234.14
(7321493)","118.66
(7431020)","232.6
(7603239)","251.03
(7688593)","241.74
(7792561)","123.76
(7969654)","64.67
(8073924)","110.62
(8175113)","150.42
(8272724)","108.78
(8366628)","NA
(NA)"
"4","Norte","Amazonas",161.52,"240.79
(2580860)","356.99
(2812557)","603.79
(2900240)","84.28
(2961801)","142.11
(3031068)","31.25
(3138726)","33.8
(3232330)","20.58
(3311026)","73.67
(3221940)","239.04
(3341096)","53.19
(3393369)","252.51
(3480937)","1887.97
(3538387)","161.52
(3590985)","487.26
(3807921)","184.8
(3873743)","104.84
(3938336)","202.37
(4001667)","108.64
(4063614)","NA
(NA)"
"5","Norte","Acre",292.13,"3.15
(527937)","546.24
(557526)","261.14
(574355)","161.87
(586942)","148.32
(600595)","796.84
(630328)","295.4
(669736)","34.1
(686652)","80.65
(655385)","378.37
(680073)","2820.32
(691132)","4796.83
(732793)","2362.48
(746386)","292.13
(758786)","261.6
(776463)","3611.24
(790101)","624.62
(803513)","264.11
(816687)","250.93
(829619)","NA
(NA)"
"6","Norte","Tocantins",415.94,"196.37
(1134895)","300.34
(1157098)","415.94
(1184895)","162.28
(1207014)","162.67
(1230181)","133.75
(1262644)","276.12
(1305728)","496.4
(1332441)","1114.56
(1243627)","824.57
(1280509)","351.45
(1292051)","689.9
(1383453)","713.08
(1400892)","882.94
(1417694)","575.99
(1478164)","257.61
(1496880)","553.22
(1515126)","537.09
(1532902)","351.29
(1550194)","NA
(NA)"
"7","Norte","Rondônia",237.81,"60.45
(1296856)","289.85
(1379787)","98.37
(1407886)","121.41
(1431777)","198.82
(1455907)","238.86
(1562085)","385.91
(1534594)","251.27
(1562417)","237.81
(1453756)","360.91
(1493566)","1356.67
(1503928)","1274.86
(1560501)","177.61
(1576455)","204.13
(1590011)","478.34
(1728214)","113.79
(1748531)","121.6
(1768204)","434.9
(1787279)","141.06
(1805788)","NA
(NA)"
"8","Nordeste","Maranhão",103.48,"101.98
(5418349)","92.73
(5651475)","126.15
(5730467)","179.99
(5803224)","112.5
(5873655)","33.26
(6021504)","130.18
(6103327)","102.58
(6184538)","258.67
(6118995)","103.48
(6305539)","41.44
(6367138)","103.43
(6569683)","185.01
(6645761)","93.83
(6714314)","61.37
(6794301)","47.02
(6850884)","137.63
(6904241)","411.95
(6954036)","121.35
(7000229)","NA
(NA)"
"9","Nordeste","Rio Grande do Norte",739.08,"758.9
(2654501)","739.08
(2776782)","1544.96
(2815244)","873.78
(2852784)","829.65
(2888058)","103.72
(2962107)","185.27
(3003087)","322.66
(3043760)","516.73
(3013740)","1065.78
(3106430)","99.67
(3137541)","258.98
(3168133)","757.41
(3198657)","957.01
(3228198)","635.3
(3373959)","393.97
(3408510)","760.12
(3442175)","1892.5
(3474998)","241.64
(3507003)","NA
(NA)"
"10","Nordeste","Ceará",402.35,"263.99
(7106605)","325.21
(7430661)","516.99
(7547620)","298.05
(7654535)","488.99
(7758441)","59.66
(7976563)","387.56
(8097276)","402.35
(8217085)","485.06
(8185250)","658.76
(8450527)","108.94
(8547809)","293.83
(8448055)","813.28
(8530155)","734.47
(8606005)","391.53
(8778576)","297.3
(8842791)","815.46
(8904459)","634.55
(8963663)","532.09
(9020460)","NA
(NA)"
"11","Nordeste","Paraíba",446.68,"595.27
(3366580)","1007.7
(3443825)","684.8
(3468594)","839.21
(3494893)","549.54
(3518595)","58.93
(3568350)","262.03
(3595886)","131.95
(3623215)","461.02
(3641397)","322.33
(3742606)","40.08
(3769977)","256.96
(3766834)","446.68
(3791315)","350.01
(3815171)","530.69
(3914421)","221.41
(3943885)","906.03
(3972202)","1385.98
(3999415)","147.82
(4025558)","NA
(NA)"
"12","Nordeste","Piauí",277.37,"96.58
(2734152)","310.65
(2843278)","443.9
(2873010)","362.98
(2898223)","390.76
(2923725)","36.47
(2977259)","182.89
(3006885)","195.77
(3036290)","390.4
(3032435)","94.7
(3119697)","159.1
(3145325)","277.37
(3119015)","379.18
(3140328)","471.56
(3160748)","184.78
(3184166)","290.62
(3194718)","288.73
(3204028)","195.57
(3212180)","195.28
(3219257)","NA
(NA)"
"13","Nordeste","Pernambuco",227,"560.73
(7580826)","418.77
(7918344)","222.57
(8008207)","1489.38
(8084667)","227
(8161862)","33.67
(8323911)","81.57
(8413593)","127.07
(8502603)","324.68
(8486638)","261.4
(8734194)","41.28
(8810256)","459.17
(8796032)","224.21
(8864906)","422.12
(8931028)","98.83
(9208550)","139.4
(9277727)","1442.05
(9345173)","780.23
(9410336)","118.2
(9473266)","NA
(NA)"
"14","Nordeste","Alagoas",275.51,"45.44
(2713203)","62.32
(2822621)","78.96
(2856629)","298.01
(2887535)","241.07
(2917664)","171.99
(2980910)","102.59
(3015912)","119.88
(3050652)","403.31
(3037231)","480.22
(3127557)","147.52
(3156108)","1662.13
(3120922)","275.51
(3143384)","993.93
(3165472)","377.06
(3300935)","455.31
(3321730)","926.49
(3340932)","619.14
(3358963)","100.04
(3375823)","NA
(NA)"
"15","Nordeste","Sergipe",178.35,"1015.62
(1712786)","652.39
(1784475)","292.25
(1817301)","436.16
(1846039)","380.96
(1874613)","33.22
(1934596)","51.28
(1967791)","86.45
(2000738)","118.6
(1939426)","1627.29
(1999374)","140.74
(2019679)","43.73
(2068031)","178.35
(2089819)","329.05
(2110867)","50.83
(2195662)","154.12
(2219574)","614.57
(2242937)","226.44
(2265779)","40.1
(2288116)","NA
(NA)"
"16","Nordeste","Bahia",298.69,"79.15
(12993011)","102
(13070250)","268.52
(13214114)","724.94
(13323212)","386.91
(13435612)","42.21
(13682074)","162.62
(13815334)","61.15
(13950146)","84.45
(14080670)","298.69
(14502575)","851.76
(14637364)","392.53
(14021432)","321.37
(14097534)","424.86
(14175341)","493.6
(15044137)","113.98
(15126371)","452.08
(15203934)","540.49
(15276566)","80.37
(15344447)","NA
(NA)"
"17","Sudeste","Minas Gerais",187.13,"99.65
(17295955)","158.47
(17891494)","196.04
(18127096)","223.7
(18343517)","83.31
(18553312)","77.64
(18993720)","66.42
(19237450)","166.31
(19479356)","160.95
(19273533)","271.35
(19850072)","310.75
(20033665)","1167.52
(19595309)","187.13
(19728701)","170.09
(19855332)","2167.41
(20593356)","305.38
(20734097)","1002.05
(20869101)","2725.43
(20997560)","151.27
(21119536)","NA
(NA)"
"18","Sudeste","Espírito Santo",718.33,"41.79
(2938062)","718.33
(3097232)","277.74
(3155016)","917.37
(3201722)","1024.37
(3250219)","117.77
(3352024)","92.95
(3408365)","336.04
(3464285)","233.08
(3351669)","869.96
(3453648)","1268.8
(3487199)","768.26
(3512672)","1055.38
(3547055)","374.41
(3578067)","1964.13
(3839366)","553.19
(3885049)","1022.74
(3929911)","1205.74
(3973697)","201.1
(4016356)","NA
(NA)"
"19","Sudeste","Rio de Janeiro",189.83,"69.48
(13807358)","41.05
(14391282)","611.43
(14558545)","1746.56
(14724475)","39.32
(14879118)","8.24
(15203750)","11.9
(15383407)","189.83
(15561720)","425.5
(15420450)","1366.48
(15872362)","56.78
(16010429)","185.19
(15993583)","1086.7
(16112678)","1211.34
(16231365)","1410.25
(16369179)","51.21
(16461173)","485.35
(16550024)","566.75
(16635996)","69.83
(16718956)","NA
(NA)"
"20","Sudeste","São Paulo",121.31,"112.13
(35816740)","42.33
(37032403)","158.86
(37630106)","121.31
(38177742)","42.64
(38709320)","7.96
(39825226)","16.66
(40442795)","155.21
(41055734)","294.77
(39827690)","28.9
(41011635)","31.95
(41384039)","494.14
(41252160)","268.69
(41587182)","70.08
(41901219)","513.91
(43663669)","529.28
(44035304)","1715.37
(44396484)","456.35
(44749699)","31.36
(45094866)","NA
(NA)"
"21","Centro-Oeste","Mato Grosso",361.97,"148.05
(2375549)","258.29
(2504353)","152.54
(2560584)","393.77
(2604742)","361.97
(2651335)","97.09
(2749145)","277.77
(2803274)","401.09
(2856999)","624.75
(2854642)","242.27
(2957732)","2058.64
(3001692)","1222.84
(3033991)","184.95
(3075936)","1185.53
(3115336)","1119.22
(3182113)","241.38
(3224357)","737.6
(3265486)","666.25
(3305531)","297.87
(3344544)","NA
(NA)"
"22","Centro-Oeste","Distrito Federal",63.6,"39.56
(1969868)","57.82
(2051146)","90.63
(2097447)","158.92
(2145839)","43.7
(2189789)","12.14
(2282049)","19.1
(2333108)","25.06
(2383784)","53.8
(2455903)","53.81
(2557158)","40.62
(2606885)","624.59
(2562963)","63.6
(2609998)","70.29
(2648532)","442.16
(2789761)","423.92
(2852372)","356.95
(2914830)","614.94
(2977216)","143.15
(3039444)","NA
(NA)"
"23","Centro-Oeste","Goiás",416.29,"52.69
(4848725)","54.28
(5003228)","230.13
(5116462)","416.29
(5210335)","162.34
(5306459)","105.68
(5508245)","361.91
(5619917)","423.43
(5730753)","273.39
(5647035)","621.44
(5844996)","819.7
(5926300)","1672.74
(6004045)","383.13
(6080716)","405.57
(6154996)","2184.18
(6434048)","1481.69
(6523222)","2589.87
(6610681)","1977.09
(6695855)","964.27
(6778772)","NA
(NA)"
"24","Centro-Oeste","Mato Grosso do Sul",412.5,"359.42
(2026600)","320.41
(2078001)","560.15
(2111036)","513.43
(2140624)","101.19
(2169688)","13.78
(2230702)","30.87
(2264468)","718.94
(2297981)","3104.5
(2265813)","30.01
(2336058)","666.44
(2360498)","2655.48
(2449341)","261.44
(2477542)","412.5
(2505088)","3090.13
(2587269)","138.97
(2619657)","1259.95
(2651235)","1804.52
(2682386)","79.86
(2713147)","NA
(NA)"
"25","Sul","Paraná",49.79,"14.55
(9375592)","49.79
(9563458)","17.61
(9694709)","77.94
(9798006)","112.95
(9906866)","1.65
(10135388)","10.68
(10261856)","13.62
(10387378)","272.8
(10284503)","18.05
(10590169)","15.81
(10686247)","376.04
(10439601)","281.62
(10512349)","46.98
(10577755)","609.92
(10997465)","210.98
(11081692)","422.48
(11163018)","572.25
(11242720)","43.09
(11320892)","NA
(NA)"
"26","Sul","Santa Catarina",1.52,"0.77
(5098448)","0.7
(5356360)","1.23
(5448736)","5.3
(5527707)","0.89
(5607233)","0.28
(5774178)","0.83
(5866568)","1.06
(5958266)","2.65
(5866487)","1.38
(6052587)","1.03
(6118743)","2.89
(6249682)","2.2
(6317054)","1.52
(6383286)","5.4
(6634254)","2.12
(6727148)","65.44
(6819190)","74.24
(6910553)","3.85
(7001161)","NA
(NA)"
"27","Sul","Rio Grande do Sul",1.37,"0.55
(9971910)","0.44
(10187798)","0.82
(10309819)","4.34
(10408540)","0.6
(10510992)","0.23
(10726063)","0.38
(10845087)","0.67
(10963219)","4.11
(10582887)","1.19
(10855214)","0.68
(10914128)","33.93
(10695532)","3.1
(10733030)","1.45
(10770603)","3.89
(11164043)","1.37
(11207274)","15.13
(11247972)","28.42
(11286500)","2.02
(11322895)","NA
(NA)"
"28","Brazil","",241.07,"145.9
(163938525)","168.27
(169799170)","268.56
(172385826)","448.2
(174632960)","179.91
(176871437)","44.47
(181581024)","95.37
(184184264)","159.64
(186770562)","299.52
(183989711)","334.57
(189612814)","248.13
(191480630)","555.26
(190747855)","395.7
(192379287)","342.1
(193946886)","769.34
(201032714)","310.67
(202768562)","889.46
(204450649)","799.74
(206081432)","136.23
(207660929)","NA
(NA)"
